species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
MO_GR;MO_GR_MO_03_16_002;0;0,043104524;;1,048381108;5;1,55;Moorea
MO_GR;MO_GR_MO_03_16_002;1;0,49002551;;1,048381108;5;1,55;Moorea
MO_GR;MO_GR_MO_03_16_002;2;0,714669673;;1,048381108;5;1,55;Moorea
MO_GR;MO_GR_MO_03_16_002;3;0,843990978;;1,048381108;5;1,55;Moorea
MO_GR;MO_GR_MO_03_16_002;4;0,945662016;;1,048381108;5;1,55;Moorea
MO_GR;MO_GR_MO_03_16_002;5;1,01010579;;1,048381108;5;1,55;Moorea
MO_GR;MO_GR_MO_03_16_003;0;NA;;0,877352948;3;1,55;Moorea
MO_GR;MO_GR_MO_03_16_003;1;0,473612711;;0,877352948;3;1,55;Moorea
MO_GR;MO_GR_MO_03_16_003;2;0,645510937;;0,877352948;3;1,55;Moorea
MO_GR;MO_GR_MO_03_16_003;3;0,78271152;;0,877352948;3;1,55;Moorea
MO_GR;MO_GR_MO_03_16_004;0;0,033136083;;0,702625803;2;1,55;Moorea
MO_GR;MO_GR_MO_03_16_004;1;0,438949883;;0,702625803;2;1,55;Moorea
MO_GR;MO_GR_MO_03_16_004;2;0,599156;;0,702625803;2;1,55;Moorea
